Team,League,Badge,Sponsor
Accrington Stanley,League One,Badges/Accrington_Stanley.png,
AFC Bournemouth,Premier League,Badges/AFC_Bournemouth.png,
AFC Wimbledon,League Two,Badges/AFC_Wimbledon.png,
Arsenal,Premier League,Badges/Arsenal.png,
Aston Villa,Premier League,Badges/Aston_Villa.png,
Barnsley,League One,Badges/Barnsley.png,
Barrow,League Two,Badges/Barrow.png,
Birmingham City,Championship,Badges/Birmingham_City.png,
Blackburn Rovers,Championship,Badges/Blackburn_Rovers.png,
Blackpool,Championship,Badges/Blackpool.png,
Bolton Wanderers,League One,Badges/Bolton_Wanderers.png,
Bradford City,League Two,Badges/Bradford_City.png,
Brentford,Premier League,Badges/Brentford.png,
Brighton & Hove Albion,Premier League,Badges/Brighton_&_Hove_Albion.png,
Bristol City,Championship,Badges/Bristol_City.png,
Bristol Rovers,League One,Badges/Bristol_Rovers.png,
Burnley,Championship,Badges/Burnley.png,
Burton Albion,League One,Badges/Burton_Albion.png,
Cambridge United,League One,Badges/Cambridge_United.png,
Cardiff City,Championship,Badges/Cardiff_City.png,
Carlisle United,League Two,Badges/Carlisle.png,
Charlton Athletic,League One,Badges/Charlton.png,
Chelsea,Premier League,Badges/Chelsea.png,
Cheltenham Town,League One,Badges/Cheltenham_Town.png,
Colchester United,League Two,Badges/Colchester_United.png,
Coventry City,Championship,Badges/Coventry_City.png,
Crawley Town,League Two,Badges/Crawley_Town.png,
Crewe Alexandra,League Two,Badges/Crewe_Alexandra.png,
Crystal Palace,Premier League,Badges/Crystal_Palace.png,
Derby County,League One,Badges/Derby_County.png,
Doncaster Rovers,League Two,Badges/Doncaster_Rovers.png,
Everton,Premier League,Badges/Everton.png,
Exeter City,League One,Badges/Exeter_City.png,
Fleetwood Town,League One,Badges/Fleetwood_Town.png,
Forest Green Rovers,League One,Badges/Forest_Green_Rovers.png,
Fulham,Premier League,Badges/Fulham.png,
Gillingham,League Two,Badges/Gillingham.png,
Grimsby Town,League Two,Badges/Grimsby_Town.png,
Harrogate Town,League Two,Badges/Harrogate_Town.png,
Hartlepool United,League Two,Badges/Hartlepool_United.png,
Huddersfield Town,Championship,Badges/Huddersfield_Town.png,
Hull City,Championship,Badges/Hull_City.png,
Ipswich Town,League One,Badges/Ipswich_Town.png,
Leeds United,Premier League,Badges/Leeds_United.png,
Leicester City,Premier League,Badges/Leicester_City.png,
Leyton Orient,League Two,Badges/Leyton_Orient.png,
Lincoln City,League One,Badges/Lincoln_City.png,
Liverpool,Premier League,Badges/Liverpool.png,
Luton Town,Championship,Badges/Luton_Town.png,
Manchester City,Premier League,Badges/Manchester_City.png,
Manchester United,Premier League,Badges/Manchester_United.png,
Mansfield Town,League Two,Badges/Mansfield_Town.png,
Middlesbrough,Championship,Badges/Middlesbrough.png,
Millwall,Championship,Badges/Millwall.png,
MK Dons,League One,Badges/MK_Dons.png,
Morecambe,League One,Badges/Morecambe.png,
Newcastle United,Premier League,Badges/Newcastle_United.png,
Newport County,League Two,Badges/Newport_County.png,
Northampton Town,League Two,Badges/Northampton_Town.png,
Norwich City,Championship,Badges/Norwich_City.png,
Nottingham Forest,Premier League,Badges/Nottingham_Forest.png,
Oxford United,League One,Badges/Oxford_United.png,
Peterborough United,League One,Badges/Peterborough_United.png,
Plymouth Argyle,League One,Badges/Plymouth_Argyle.png,
Port Vale,League One,Badges/Port_Vale.png,
Portsmouth,League One,Badges/Portsmouth.png,
Preston North End,Championship,Badges/Preston_North_End.png,
Queens Park Rangers,Championship,Badges/Queens_Park_Rangers.png,
Reading,Championship,Badges/Reading.png,
Rochdale,League Two,Badges/Rochdale.png,
Rotherham United,Championship,Badges/Rotherham_United.png,
Salford City,League Two,Badges/Salford_City.png,
Sheffield United,Championship,Badges/Sheffield_United.png,
Sheffield Wednesday,League One,Badges/Sheffield_Wednesday.png,
Shrewsbury Town,League One,Badges/Shrewsbury_Town.png,
Southampton,Premier League,Badges/Southampton.png,
Stevenage,League Two,Badges/Stevenage.png,
Stockport County,League Two,Badges/Stockport_County.png,
Stoke City,Championship,Badges/Stoke_City.png,
Sunderland,Championship,Badges/Sunderland.png,
Sutton United,League Two,Badges/Sutton_United.png,
Swansea City,Championship,Badges/Swansea_City.png,
Swindon Town,League Two,Badges/Swindon_Town.png,
Tottenham Hotspur,Premier League,Badges/Tottenham_Hotspur.png,
Tranmere Rovers,League Two,Badges/Tranmere_Rovers.png,
Walsall,League Two,Badges/Walsall.png,
Watford,Championship,Badges/Watford.png,
West Bromwich Albion,Championship,Badges/West_Bromwich_Albion.png,
West Ham United,Premier League,Badges/West_Ham_United.png,
Wigan Athletic,Championship,Badges/Wigan_Athletic.png,
Wolverhampton Wanderers,Premier League,Badges/Wolverhampton_Wanderers.png,
Wycombe Wanderers,League One,Badges/Wycombe_Wanderers.png,
